Team,Att,Cmp,Cmp%,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY,ORAT,cmp%,yds/a,pass,TD,INT,1st%,Sck,DRAT
49ers,512,338,66,7.9,4049,30,9,102.2,188,36.7,56,6,57,31,193,58.03,65.6,6.4,3789,20,20,31.7,44,57.40
Bears,377,223,59.2,6.9,2598,19,15,80.3,109,28.9,38,7,56,58,379,51.70,67.2,7.7,3716,22,14,38.2,20,47.87
Bengals,610,418,68.5,7.4,4520,35,12,101,221,36.2,54,10,60T,44,280,57.55,58.9,6.6,3665,17,13,31,30,48.00
Bills,574,361,62.9,7.5,4291,35,14,95.8,212,36.9,51,12,98T,33,162,59.45,63.5,6,3433,21,17,31.8,40,53.48
Broncos,571,345,60.4,7,4007,18,15,81.2,166,29.1,55,12,67T,63,415,52.59,64.8,5.9,3574,20,15,29.8,36,58.69
Browns,540,335,62,6.9,3710,19,12,84.9,182,33.7,44,5,55T,44,266,54.40,60.7,6.4,3336,20,11,32,34,46.02
Buccaneers,751,499,66.4,6.3,4746,26,10,89.8,240,32,50,8,63T,22,160,54.38,63.9,6.1,3461,29,10,32.6,45,53.20
Cardinals,664,433,65.2,6,3966,17,17,79.2,189,28.5,40,3,77,46,340,49.20,69.8,6.6,3915,29,11,36.8,36,62.01
Chargers,711,485,68.2,6.7,4791,26,10,93.3,232,32.6,50,7,55,39,207,54.84,61.4,6.7,3406,24,14,34.6,40,44.83
Chiefs,651,435,66.8,8.1,5250,41,12,104.7,272,41.8,73,13,67,26,188,63.22,65.9,6.1,3756,33,11,33.4,55,59.82
Colts,604,398,65.9,6.4,3854,17,20,79.2,193,32,41,4,49,60,422,49.98,68,6.6,3569,25,10,34.3,44,53.95
Commanders,554,344,62.1,6.8,3783,24,16,84.7,184,33.2,46,10,75T,48,311,54.14,59.9,6.3,3252,26,9,30.2,43,44.57
Cowboys,556,355,63.8,7,3911,28,18,87.9,194,34.9,50,5,68T,27,175,54.87,62.7,6.2,3415,23,16,31.6,54,49.80
Dolphins,584,368,63,8.2,4765,30,15,95,220,37.7,62,14,84T,35,254,59.40,66.7,6.4,3992,27,8,32,40,62.43
Eagles,536,350,65.3,8.1,4364,25,9,99,195,36.4,63,13,78T,44,259,57.87,63,5.5,3057,22,17,33.4,70,49.52
Falcons,415,257,61.9,7,2927,17,9,87.7,148,35.7,37,5,75T,37,228,54.90,66.3,7,3942,26,10,35.6,21,56.17
Giants,520,346,66.5,6.6,3431,17,6,91.1,170,32.7,28,5,65,49,274,52.97,61.4,6.4,3638,21,6,35.2,41,50.94
Jaguars,596,394,66.1,7,4148,25,9,93.9,208,34.9,55,3,59T,28,189,55.54,64.1,6.8,4055,25,14,35.1,35,56.79
Jets,627,357,56.9,6.4,4040,15,14,75,191,30.5,47,10,79,42,317,53.08,62.4,5.8,3220,15,12,29.9,45,50.53
Lions,588,383,65.1,7.6,4444,29,7,99.3,228,38.8,57,12,81,24,163,59.42,63,7.5,4179,26,12,37.3,39,51.24
Packers,563,364,64.6,6.9,3890,27,12,91.9,186,33,55,7,63,32,258,54.49,65.7,7,3349,22,17,34.1,34,45.51
Panthers,457,267,58.4,7.1,3246,16,13,80.2,138,30.2,49,12,75,36,250,53.11,66,6.7,3868,25,10,33.4,35,56.73
Patriots,540,358,66.3,7.1,3815,19,14,87.7,166,30.7,57,9,53T,41,279,51.68,61.1,6.2,3681,28,19,32.6,54,52.63
Raiders,586,359,61.3,7.1,4182,28,17,86.7,193,32.9,58,10,60T,35,248,55.50,67.6,7,4129,25,6,34.9,27,60.11
Rams,531,347,65.4,6.6,3506,16,15,82.3,181,34.1,38,4,75T,59,398,51.68,67.4,6.9,3842,23,16,36.5,38,55.32
Ravens,488,300,61.5,6.6,3202,19,13,82.5,149,30.5,33,6,75T,38,162,52.74,66.4,6.7,3947,20,14,34.7,48,57.49
Saints,512,338,66,7.8,3969,24,14,93.6,181,35.4,45,13,68T,38,277,55.04,60.1,5.8,3134,17,7,29.7,48,46.87
Seahawks,573,399,69.6,7.5,4282,30,12,100,206,36,50,6,54,46,348,55.55,62.7,6.6,3595,23,14,34.4,45,49.45
Steelers,571,364,63.8,6.4,3661,12,14,78.7,189,33.1,44,3,57T,38,250,51.33,61.2,7,3779,29,20,36.2,40,47.76
Texans,579,352,60.8,6.3,3642,20,19,76.8,159,27.5,55,7,58T,38,298,50.13,64.4,6.8,3558,15,16,37.6,39,48.70
Titans,456,285,62.5,7.1,3227,16,11,85.3,153,33.6,41,11,69T,49,313,53.64,65.4,7,4671,29,14,32,39,65.83
Vikings,672,448,66.7,7.2,4818,30,15,93.1,244,36.3,50,10,66,47,334,56.64,66.1,7.3,4515,23,15,36.3,38,60.93
